Output from the Graph Environmental Effects 
      function of WinMaxc32 v2.50
STARTING CONDITIONS
 37.0 C   pH  6.50     0.180N
CHELATOR TOTAL[M] and METAL FREE[M]
ATP          CRPHOSP      EGTA                                                
 4.94E-03     1.45E-02     7.00E-03                                           
Ca2          Mg2                                                              
 3.15E-05     1.00E-03                                                        
 
 FCa2        TCa2       TMg2      
 9.77E-07   1.53E-03   5.39E-03                                              
 1.00E-06   1.56E-03   5.39E-03 
 1.00E-06   1.56E-03   5.39E-03                                              
 1.22E-06   1.82E-03   5.39E-03                                              
 1.45E-06   2.06E-03   5.38E-03                                              
 1.68E-06   2.27E-03   5.38E-03                                              
 1.90E-06   2.47E-03   5.37E-03                                              
 2.13E-06   2.65E-03   5.37E-03                                              
 2.35E-06   2.82E-03   5.37E-03                                              
 2.58E-06   2.98E-03   5.36E-03                                              
 2.80E-06   3.12E-03   5.36E-03                                              
 3.03E-06   3.26E-03   5.36E-03                                              
 3.25E-06   3.38E-03   5.35E-03                                              
 3.48E-06   3.50E-03   5.35E-03                                              
 3.70E-06   3.61E-03   5.35E-03                                              
 3.93E-06   3.71E-03   5.35E-03                                              
 4.15E-06   3.81E-03   5.34E-03                                              
 4.38E-06   3.90E-03   5.34E-03                                              
 4.60E-06   3.99E-03   5.34E-03                                              
 4.83E-06   4.07E-03   5.34E-03                                              
 5.05E-06   4.15E-03   5.34E-03                                              
 5.28E-06   4.23E-03   5.34E-03                                              
 5.50E-06   4.30E-03   5.33E-03                                              
 5.73E-06   4.36E-03   5.33E-03                                              
 5.95E-06   4.43E-03   5.33E-03                                              
 6.18E-06   4.49E-03   5.33E-03                                              
 6.40E-06   4.55E-03   5.33E-03                                              
 6.63E-06   4.60E-03   5.33E-03                                              
 6.85E-06   4.66E-03   5.32E-03                                              
 7.08E-06   4.71E-03   5.32E-03                                              
 7.30E-06   4.75E-03   5.32E-03                                              
 7.53E-06   4.80E-03   5.32E-03                                              
 7.75E-06   4.85E-03   5.32E-03                                              
 7.98E-06   4.89E-03   5.32E-03                                              
 8.20E-06   4.93E-03   5.32E-03                                              
 8.43E-06   4.97E-03   5.32E-03                                              
 8.65E-06   5.01E-03   5.31E-03                                              
 8.88E-06   5.05E-03   5.31E-03                                              
 9.10E-06   5.08E-03   5.31E-03                                              
 9.33E-06   5.12E-03   5.31E-03                                              
 9.55E-06   5.15E-03   5.31E-03
 1.00E-05   5.22E-03   5.31E-03                                              
 1.22E-05   5.48E-03   5.30E-03                                              
 1.45E-05   5.68E-03   5.29E-03                                              
 1.68E-05   5.84E-03   5.29E-03                                              
 1.90E-05   5.97E-03   5.28E-03                                              
 2.13E-05   6.07E-03   5.28E-03                                              
 2.35E-05   6.16E-03   5.27E-03                                              
 2.58E-05   6.24E-03   5.27E-03                                              
 2.80E-05   6.30E-03   5.26E-03                                              
 3.03E-05   6.36E-03   5.26E-03                                              
 3.25E-05   6.41E-03   5.25E-03                                              
 3.48E-05   6.46E-03   5.25E-03                                              
 3.70E-05   6.50E-03   5.25E-03                                              
 3.93E-05   6.54E-03   5.24E-03                                              
 4.15E-05   6.58E-03   5.24E-03                                              
 4.38E-05   6.61E-03   5.23E-03                                              
 4.60E-05   6.64E-03   5.23E-03                                              
 4.83E-05   6.67E-03   5.23E-03                                              
 5.05E-05   6.69E-03   5.22E-03                                              
 5.28E-05   6.72E-03   5.22E-03                                              
 5.50E-05   6.74E-03   5.22E-03                                              
 5.73E-05   6.76E-03   5.21E-03                                              
 5.95E-05   6.78E-03   5.21E-03                                              
 6.18E-05   6.80E-03   5.21E-03                                              
 6.40E-05   6.82E-03   5.20E-03                                              
 6.63E-05   6.84E-03   5.20E-03                                              
 6.85E-05   6.86E-03   5.20E-03                                              
 7.08E-05   6.87E-03   5.19E-03                                              
 7.30E-05   6.89E-03   5.19E-03                                              
 7.53E-05   6.90E-03   5.19E-03                                              
 7.75E-05   6.92E-03   5.18E-03                                              
 7.98E-05   6.93E-03   5.18E-03                                              
 8.20E-05   6.95E-03   5.18E-03                                              
 8.43E-05   6.96E-03   5.17E-03                                              
 8.65E-05   6.97E-03   5.17E-03                                              
 8.88E-05   6.99E-03   5.17E-03                                              
 9.10E-05   7.00E-03   5.16E-03                                              
 9.33E-05   7.01E-03   5.16E-03                                              
 9.55E-05   7.02E-03   5.16E-03                                              
 9.78E-05   7.04E-03   5.15E-03                                              
 1.00E-04   7.05E-03   5.15E-03 
 
NOT VALID BELOW IONIC CONCENTRATION OF CHELATOR/METAL COMPLEX [ 0.055 N]
