Output from the Graph Environmental Effects 
      function of WinMaxc32 v2.50
STARTING CONDITIONS
 37.0 C   pH  7.00     0.180N
CHELATOR TOTAL[M] and METAL FREE[M]
ATP          CRPHOSP      EGTA                                                
 4.63E-03     1.45E-02     7.00E-03                                           
Ca2          Mg2                                                              
 3.15E-05     1.00E-03                                                        
 
 FCa2        TCa2       TMg2      
 9.55E-07   5.03E-03   5.39E-03                                              
 9.78E-07   5.06E-03   5.39E-03                                              
 1.00E-06   5.09E-03   5.39E-03                                              
 1.01E-06   5.10E-03   5.38E-03                                              
 1.23E-06   5.37E-03   5.37E-03                                              
 1.46E-06   5.57E-03   5.35E-03                                              
 1.68E-06   5.73E-03   5.34E-03                                              
 1.91E-06   5.85E-03   5.33E-03                                              
 2.13E-06   5.96E-03   5.32E-03                                              
 2.36E-06   6.04E-03   5.32E-03                                              
 2.58E-06   6.12E-03   5.31E-03                                              
 2.81E-06   6.18E-03   5.31E-03                                              
 3.03E-06   6.24E-03   5.30E-03                                              
 3.26E-06   6.29E-03   5.30E-03                                              
 3.48E-06   6.33E-03   5.30E-03                                              
 3.71E-06   6.37E-03   5.29E-03                                              
 3.93E-06   6.40E-03   5.29E-03                                              
 4.16E-06   6.43E-03   5.29E-03                                              
 4.38E-06   6.46E-03   5.29E-03                                              
 4.61E-06   6.49E-03   5.28E-03                                              
 4.83E-06   6.51E-03   5.28E-03                                              
 5.06E-06   6.53E-03   5.28E-03                                              
 5.28E-06   6.55E-03   5.28E-03                                              
 5.51E-06   6.57E-03   5.28E-03                                              
 5.73E-06   6.59E-03   5.28E-03                                              
 5.95E-06   6.60E-03   5.27E-03                                              
 6.18E-06   6.62E-03   5.27E-03                                              
 6.40E-06   6.63E-03   5.27E-03                                              
 6.63E-06   6.64E-03   5.27E-03                                              
 6.85E-06   6.66E-03   5.27E-03                                              
 7.08E-06   6.67E-03   5.27E-03                                              
 7.30E-06   6.68E-03   5.27E-03                                              
 7.53E-06   6.69E-03   5.27E-03                                              
 7.75E-06   6.70E-03   5.26E-03                                              
 7.98E-06   6.71E-03   5.26E-03                                              
 8.20E-06   6.72E-03   5.26E-03                                              
 8.43E-06   6.73E-03   5.26E-03                                              
 8.65E-06   6.73E-03   5.26E-03                                              
 8.88E-06   6.74E-03   5.26E-03                                              
 9.10E-06   6.75E-03   5.26E-03                                              
 9.33E-06   6.76E-03   5.26E-03                                              
 9.55E-06   6.76E-03   5.26E-03                                              
 9.78E-06   6.77E-03   5.26E-03                                              
 1.00E-05   6.78E-03   5.26E-03                                              
 1.01E-05   6.78E-03   5.26E-03                                              
 1.23E-05   6.83E-03   5.25E-03                                              
 1.46E-05   6.87E-03   5.24E-03                                              
 1.68E-05   6.90E-03   5.24E-03                                              
 1.91E-05   6.92E-03   5.23E-03                                              
 2.13E-05   6.94E-03   5.23E-03                                              
 2.36E-05   6.96E-03   5.23E-03                                              
 2.58E-05   6.97E-03   5.22E-03                                              
 2.81E-05   6.99E-03   5.22E-03                                              
 3.03E-05   7.00E-03   5.21E-03                                              
 3.26E-05   7.01E-03   5.21E-03                                              
 3.48E-05   7.02E-03   5.21E-03                                              
 3.71E-05   7.04E-03   5.20E-03                                              
 3.93E-05   7.05E-03   5.20E-03                                              
 4.16E-05   7.06E-03   5.20E-03                                              
 4.38E-05   7.07E-03   5.19E-03                                              
 4.61E-05   7.07E-03   5.19E-03                                              
 4.83E-05   7.08E-03   5.19E-03                                              
 5.06E-05   7.09E-03   5.18E-03                                              
 5.28E-05   7.10E-03   5.18E-03                                              
 5.51E-05   7.11E-03   5.17E-03                                              
 5.73E-05   7.12E-03   5.17E-03                                              
 5.95E-05   7.13E-03   5.17E-03                                              
 6.18E-05   7.13E-03   5.16E-03                                              
 6.40E-05   7.14E-03   5.16E-03                                              
 6.63E-05   7.15E-03   5.16E-03                                              
 6.85E-05   7.16E-03   5.15E-03                                              
 7.08E-05   7.16E-03   5.15E-03                                              
 7.30E-05   7.17E-03   5.15E-03                                              
 7.53E-05   7.18E-03   5.14E-03                                              
 7.75E-05   7.19E-03   5.14E-03                                              
 7.98E-05   7.19E-03   5.14E-03                                              
 8.20E-05   7.20E-03   5.13E-03                                              
 8.43E-05   7.21E-03   5.13E-03                                              
 8.65E-05   7.21E-03   5.13E-03                                              
 8.88E-05   7.22E-03   5.12E-03                                              
 9.10E-05   7.23E-03   5.12E-03                                              
 9.33E-05   7.23E-03   5.12E-03                                              
 9.55E-05   7.24E-03   5.11E-03                                              
 9.78E-05   7.25E-03   5.11E-03                                              
 1.00E-04   7.26E-03   5.11E-03                                              
 
 
 
NOT VALID BELOW IONIC CONCENTRATION OF CHELATOR/METAL COMPLEX [ 0.055 N]
